publication,title,doi,n,nDyads,propFem,ageMean,ageSD,area,task,contrasts,method,space,x,y,z,stat,statType,location,comments
Smirnov 2019,Emotions amplify speaker–listener neural alignment,10.1002/hbm.24736,18,16,1,25,NA,communication,speak/listen,pseudo: speaker/listener-ISC > random correlation,wb-VW,MNI,4,-42,20,3.451874495,ISC,ISC map,pseudo-hyperscanning
Smirnov 2019,Emotions amplify speaker–listener neural alignment,10.1002/hbm.24736,18,16,1,25,NA,communication,speak/listen,pseudo: speaker/listener-ISC > random correlation,wb-VW,MNI,-26,52,-16,4.089855671,ISC,ISC map,pseudo-hyperscanning
Smirnov 2019,Emotions amplify speaker–listener neural alignment,10.1002/hbm.24736,18,16,1,25,NA,communication,speak/listen,pseudo: speaker/listener-ISC > random correlation,wb-VW,MNI,-16,54,-8,3.379610777,ISC,ISC map,pseudo-hyperscanning
Smirnov 2019,Emotions amplify speaker–listener neural alignment,10.1002/hbm.24736,18,16,1,25,NA,communication,speak/listen,pseudo: speaker/listener-ISC > random correlation,wb-VW,MNI,6,-76,40,3.705015898,ISC,ISC map,pseudo-hyperscanning
Smirnov 2019,Emotions amplify speaker–listener neural alignment,10.1002/hbm.24736,18,16,1,25,NA,communication,speak/listen,pseudo: speaker/listener-ISC > random correlation,wb-VW,MNI,-8,-74,40,2.908517361,ISC,ISC map,pseudo-hyperscanning
Spiegelhalder 2014,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1016/j.bbr.2013.10.015,22,11,1,27.2,2.9,communication,speak/listen,"dyad-ISC during speak/listen > control, no time-lag",Seed,MNI,-3,-49,43,7.65,T,Table S2-During,seed(speaker)-to-voxel
Spiegelhalder 2014,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1016/j.bbr.2013.10.015,22,11,1,27.2,2.9,communication,speak/listen,"dyad-ISC during speak/listen > control, no time-lag",Seed,MNI,-54,-22,7,6.32,T,Table S2-During,seed(speaker)-to-voxel
Spiegelhalder 2014,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1016/j.bbr.2013.10.015,22,11,1,27.2,2.9,communication,speak/listen,"dyad-ISC during speak/listen > control, no time-lag",Seed,MNI,42,2,43,6.33,T,Table S2-During,seed(speaker)-to-voxel
Spiegelhalder 2014,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1016/j.bbr.2013.10.015,22,11,1,27.2,2.9,communication,speak/listen,"dyad-ISC during speak/listen > control, no time-lag",Seed,MNI,51,-25,10,5.26,T,Table S2-During,seed(speaker)-to-voxel
Spiegelhalder 2014,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1016/j.bbr.2013.10.015,22,11,1,27.2,2.9,communication,speak/listen,"dyad-ISC during speak/listen > control, no time-lag",Seed,MNI,63,-46,19,5.19,T,Table S2-During,seed(speaker)-to-voxel
Spiegelhalder 2014,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1016/j.bbr.2013.10.015,22,11,1,27.2,2.9,communication,speak/listen,"dyad-ISC during speak/listen > control, no time-lag",Seed,MNI,36,-52,58,4.39,T,Table S2-During,seed(speaker)-to-voxel
Spiegelhalder 2014,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1016/j.bbr.2013.10.015,22,11,1,27.2,2.9,communication,speak/listen,"dyad-ISC during speak/listen > control, no time-lag",Seed,MNI,18,-52,-2,4.59,T,Table S2-During,seed(speaker)-to-voxel
Spiegelhalder 2014,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1016/j.bbr.2013.10.015,22,11,1,27.2,2.9,communication,speak/listen,"dyad-ISC during speak/listen > control, no time-lag",Seed,MNI,63,-37,-8,4.28,T,Table S2-During,seed(speaker)-to-voxel
Spiegelhalder 2014,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1016/j.bbr.2013.10.015,22,11,1,27.2,2.9,communication,speak/listen,"dyad-ISC during speak/listen > control, no time-lag",Seed,MNI,51,-37,55,4.47,T,Table S2-During,seed(speaker)-to-voxel
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during cooperation > random-ISC,ts-ICA,MNI,60,-50,16,4.67,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during cooperation > random-ISC,ts-ICA,MNI,54,-60,16,3.7,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during cooperation > random-ISC,ts-ICA,MNI,52,-20,-6,2.73,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during cooperation > random-ISC,ts-ICA,MNI,-58,-52,16,3.72,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during cooperation > random-ISC,ts-ICA,MNI,-56,-60,12,3.72,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during cooperation > random-ISC,ts-ICA,MNI,-50,-70,12,3.45,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during cooperation > random-ISC,ts-ICA,MNI,56,22,28,2.66,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during cooperation > random-ISC,ts-ICA,MNI,48,12,36,2.58,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during cooperation > random-ISC,ts-ICA,MNI,38,12,30,2.04,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during cooperation > random-ISC,ts-ICA,MNI,2,-52,48,2.56,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,2,-42,-32,4.46,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,-2,-78,-26,3.55,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,2,-70,-34,3.53,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,48,18,46,4.61,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,36,62,8,4.48,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,28,20,60,4.1,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,46,-50,58,5.06,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,54,-46,50,4.23,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,36,-68,54,5.01,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,-10,-84,-24,2.91,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,-14,-86,-22,2.91,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,-40,-72,-42,2.74,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,0,20,38,5.44,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,-32,52,26,4.25,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,-32,42,38,3.93,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,32,52,30,3.2,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,34,42,38,3.09,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,-46,16,-2,2.92,Z,Table S1,"ICA coordinate list ""thresholded"""
Spilakova 2020,Getting into sync: Data-driven analyses reveal patterns of neural coupling that distinguish among different social exchanges,10.1002/hbm.24861,38,19,0.42,22.44,1.9,coop/comp,pattern game,dyad-ISC during competition > random-ISC,ts-ICA,MNI,-32,18,10,2.7,Z,Table S1,"ICA coordinate list ""thresholded"""
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,57,-9,6,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,-57,-20,5,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,42,-46,31,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,56,-49,17,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,-47,-55,21,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,42,11,7,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,-34,19,-10,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,35,8,3,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,-32,13,-4,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,44,15,-15,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,25,52,22,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,24,8,52,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,-13,-4,69,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,6,-59,29,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,-6,-65,26,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,6,42,27,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,-8,42,13,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,-39,-77,25,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,-40,29,21,NA,NA,Table S1,pseudo-hyperscanning
Stephens 2010,"Speaker–listener neural coupling underlies
successful communication",10.1073/pnas.1008662107,14,22,NA,25.5,NA,communication,speak/listen,pseudo: speaker-listener-ISC > listener-listener-ISC,wb-VW,TAL,-50,-57,-5,NA,NA,Table S1,pseudo-hyperscanning
Wang 2021,Cerebral coherence in task-based fMRI hyperscanning: A new trick to an old dog,10.1101/2021.07.21.452832,66,33,NA,23.4,2.9,coop/comp,reward game,dyad-ISC during cooperation,Seed,TAL,56,-20,17,0.1885,ISC,Table S1,preprint
Wang 2021,Cerebral coherence in task-based fMRI hyperscanning: A new trick to an old dog,10.1101/2021.07.21.452832,66,33,NA,24.4,2.1,coop/comp,reward game,dyad-ISC during cooperation,Seed,TAL,53,-24,3,0.1852,ISC,Table S1,preprint
Wang 2021,Cerebral coherence in task-based fMRI hyperscanning: A new trick to an old dog,10.1101/2021.07.21.452832,66,33,NA,25.4,2.11,coop/comp,reward game,dyad-ISC during cooperation,Seed,TAL,-15,57,10,0.181,ISC,Table S1,preprint
Wang 2021,Cerebral coherence in task-based fMRI hyperscanning: A new trick to an old dog,10.1101/2021.07.21.452832,66,33,NA,26.4,2.12,coop/comp,reward game,dyad-ISC during cooperation,Seed,TAL,-58,10,12,0.1751,ISC,Table S1,preprint
Wang 2021,Cerebral coherence in task-based fMRI hyperscanning: A new trick to an old dog,10.1101/2021.07.21.452832,66,33,NA,27.4,2.13,coop/comp,reward game,dyad-ISC during cooperation,Seed,TAL,-8,39,42,0.1711,ISC,Table S1,preprint
Wang 2021,Cerebral coherence in task-based fMRI hyperscanning: A new trick to an old dog,10.1101/2021.07.21.452832,66,33,NA,28.4,2.14,coop/comp,reward game,dyad-ISC during cooperation,Seed,TAL,-55,-25,27,0.1683,ISC,Table S1,preprint
Wang 2021,Cerebral coherence in task-based fMRI hyperscanning: A new trick to an old dog,10.1101/2021.07.21.452832,66,33,NA,29.4,2.15,coop/comp,reward game,dyad-ISC during cooperation,Seed,TAL,-3,-49,49,0.1762,ISC,Table S1,preprint
Wang 2021,Cerebral coherence in task-based fMRI hyperscanning: A new trick to an old dog,10.1101/2021.07.21.452832,66,33,NA,30.4,2.16,coop/comp,reward game,dyad-ISC during competition,Seed,TAL,40,-64,9,0.1684,ISC,Table S1,preprint
Wang 2021,Cerebral coherence in task-based fMRI hyperscanning: A new trick to an old dog,10.1101/2021.07.21.452832,66,33,NA,31.4,2.17,coop/comp,reward game,dyad-ISC during competition,Seed,TAL,-21,-1,46,0.164,ISC,Table S1,preprint
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,32.17,-5.32,51.84,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,32.55,-39.11,49.53,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,25.3,-52.37,67.98,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,52.95,-27.27,40.81,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,57.97,-29.27,19.6,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,47.79,-61.56,34.71,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,48.87,-58.01,14.3,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,46.51,-59.8,-14.72,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,25.13,-44.53,-12.2,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,55.26,-56.28,-4.8,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,41.68,-45.65,-22.58,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,20.96,-63.6,-9.01,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,30.11,-83.01,20.47,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,45.12,-74.23,2.6,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,18.04,-83.39,-11.25,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,8.02,-74.84,24.79,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,23.66,-95.88,6.63,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,7.18,-75.58,-2.84,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,8.34,-88.45,12.17,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,31,-91.9,-10.8,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,14.87,-68.42,8.28,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
Xie 2020,Finding the neural correlates of collaboration using a three-person fMRI hyperscanning paradigm,10.1073/pnas.1917407117,36,12,0.44,27.44,4.98,coop/comp,picture drawing,dyad-ISC during collaborative drawing > random-ISC,wb-Atlas,MNI,14.6,-46.15,2.8,NA,NA,corr. ROI list,"none, (coord. = center of correlated ROIs)"
